Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,PSIA,Audio In,Audio Out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,AUDIO URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued,Availability
ACTi,,Default,,,,,,,,,,,,,,,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,,,,admin,123455,No,
ACTi,Box,B21,2592x1944,5,15FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B21,admin,123456,No,Now
ACTi,Box,B210,3648 x 2736,10,7FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B210,admin,123456,No,23.09.2014
ACTi,Box,B211,2048x1536,3,20FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B211,admin,123456,No,17.10.2014
ACTi,Box,B212,3072x2048,6,30FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B212,admin,123456,No,20.04.2015
ACTi,Box,B213,4000x3000,12,15FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B213,admin,123456,No,20.04.2015
ACTi,Box,B214,1920x1080,2,60FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B214,admin,123456,No,17.10.2014
ACTi,Box,B215,1920x1080,2,60FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B215,admin,123456,No,17.10.2014
ACTi,Box,B216,2048x1536,3,20FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B216,admin,123456,No,17.10.2014
ACTi,Box,B217,2592x1944,5,15FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B217,admin,123456,No,17.10.2014
