Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,PSIA,Audio In,Audio Out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,AUDIO URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued
AVTECH,,Default,,,,,,,,,,,,,,,cgi-bin/guest/Video.cgi?media=jpeg,live/mpeg4,live/h264,live/mjpeg,live/h264_ulaw,,,,,,
AVTECH,Bullet,AVM265,720x576,D1,30/25FPS,No,Yes,No,No,No,Yes,No,No,No,No,Yes,cgi-bin/guest/Video.cgi?media=jpeg,live/mpeg4,live/h264,live/mjpeg,live/h264_ulaw,,,http://www.avtech.com.tw/index.php?option=com_k2&view=item&id=52,admin,admin,No
AVTECH,Bullet,AVN363V,1280x1024,1.3,30FPS,No,Yes,No,No,No,Yes,No,No,No,No,No,cgi-bin/guest/Video.cgi?media=jpeg,None,live/h264,live/mjpeg,live/h264_ulaw,,,http://www.avtech.com.tw/index.php?option=com_k2&view=item&id=66,admin,admin,No
AVTECH,Bullet,AVN362V,1280x1024,1.3,30FPS,No,Yes,No,No,No,Yes,No,No,No,No,No,cgi-bin/guest/Video.cgi?media=jpeg,live/mpeg4,live/h264,live/mjpeg,live/h264_ulaw,,,http://www.avtech.com.tw/index.php?option=com_k2&view=item&id=67,admin,admin,No
AVTECH,Bullet,AVM365A,1280x800,1,30FPS,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,cgi-bin/guest/Video.cgi?media=jpeg,live/mpeg4,live/h264,live/mjpeg,live/h264_ulaw,,,http://www.avtech.com.tw/index.php?option=com_k2&view=item&id=68,admin,admin,No
AVTECH,Bullet,AVM565A,1920x1080,2,30FPS,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,cgi-bin/guest/Video.cgi?media=jpeg,live/mpeg4,live/h264,live/mjpeg,live/h264_ulaw,,,http://www.avtech.com.tw/index.php?option=com_k2&view=item&id=70,admin,admin,No
AVTECH,Bullet,AVM561,1920x1080,2,25FPS,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,cgi-bin/guest/Video.cgi?media=jpeg,None,live/h264,live/mjpeg,live/h264_ulaw,,,http://www.avtech.com.tw/index.php?option=com_k2&view=item&id=240,admin,admin,No
AVTECH,Bullet,AVM357A,1280x1024,1.3,30FPS,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,cgi-bin/guest/Video.cgi?media=jpeg,live/mpeg4,live/h264,live/mjpeg,live/h264_ulaw,,,http://www.avtech.com.tw/index.php?option=com_k2&view=item&id=53,admin,admin,No
AVTECH,Bullet,AVM457A,1920x1080,2,30FPS,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,cgi-bin/guest/Video.cgi?media=jpeg,live/mpeg4,live/h264,live/mjpeg,live/h264_ulaw,,,http://www.avtech.com.tw/index.php?option=com_k2&view=item&id=54,admin,admin,No
AVTECH,Bullet,AVN257,640x480,VGA,30FPS,No,Yes,No,No,No,Yes,No,No,No,No,Yes,cgi-bin/guest/Video.cgi?media=jpeg,None,live/h264,live/mjpeg,live/h264_ulaw,,,http://www.avtech.com.tw/index.php?option=com_k2&view=item&id=55,admin,admin,No
