Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,PSIA,Audio In,Audio Out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,AUDIO URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued
Airlive,,Default,,,,,,,,,,,,,,,jpg/image.jpg,mpeg4/media.amp,h264/media.amp,mjpg/video.mjpg,audio/receive.cgi[?<parameter>=<value>],,,,,,
Airlive,Box,BC-5010,2592x1920,5,15FPS,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi/jpg/image.cgi,cgi/mpeg4/mpeg4.cgi,cgi/h264/h264.cgi,cgi/mjpg/mjpeg.cgi,cgi/audio/audio.cgi,http://fs.airlive.com/manual/AirLive_BC-5010_Manual.pdf,http://fs.airlive.com/manual/AirLive_BC-5010_Spec.pdf,http://www.airlivesecurity.com/product/BC-5010,admin,airlive,No
Airlive,Box,POE-5010HD,2592x1920,5,8FPS,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,cgi/jpg/image.cgi,cgi/mpeg4/mpeg4.cgi,cgi/h264/h264.cgi,cgi/mjpg/mjpeg.cgi,cgi/audio/audio.cgi,http://fs.airlive.com/manual/AirLive_POE-5010HD_Manual.pdf,http://fs.airlive.com/manual/AirLive_POE-5010HD_spec.pdf,http://www.airlivesecurity.com/product/POE-5010HD,admin,airlive,No
Airlive,Box,POE-100HD-ICR,1280x1024,1.3,15FPS,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,jpg/image.jpg,mpeg4/media.amp,h264/media.amp,mjpg/video.mjpg,audio/receive.cgi[?<parameter>=<value>],http://fs.airlive.com/manual/AirLive_POE-100HD.POE-100HD-ICR_Manual.pdf,http://fs.airlive.com/manual/AirLive_POE-100HD-ICR_SpecSheet.pdf,http://www.airlivesecurity.com/product/POE-100HD-ICR,admin,airlive,No
Airlive,Dome,MD-3025-IVS,2048x1536,3,25FPS,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi/jpg/image.cgi,cgi/mpeg4/mpeg4.cgi,cgi/h264/h264.cgi,cgi/mjpg/mjpeg.cgi,cgi/audio/audio.cgi,http://fs.airlive.com/manual/AirLive_MD-3025_Manual_web.pdf,http://fs.airlive.com/manual/AirLive_MD-3025-IVS_SpecSheet.pdf,http://www.airlivesecurity.com/product/MD-3025-IVS,admin,airlive,No
Airlive,Dome,MD-3025,2048x1536,3,25FPS,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi/jpg/image.cgi,cgi/mpeg4/mpeg4.cgi,cgi/h264/h264.cgi,cgi/mjpg/mjpeg.cgi,cgi/audio/audio.cgi,http://fs.airlive.com/manual/AirLive_MD-3025_Manual_web.pdf,http://fs.airlive.com/manual/AirLive_MD-3025_SpecSheet.pdf,http://www.airlivesecurity.com/product/MD-3025,admin,airlive,No
Airlive,Dome,SD-2020,1920x1080,2,30FPS,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi?,mpeg4,h264,cgi-bin/jpg/image.cgi?,None,http://fs.airlive.com/manual/AirLive_SD-2020_Manual_web.pdf,http://fs.airlive.com/manual/AirLive_SD-2020_SpecSheet.pdf,http://www.airlivesecurity.com/product/SD-2020,admin,airlive,No
Airlive,Dome,MD-720,1280x800,1,30FPS,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image,video.pro1,video.pro1,Unknown,video.pro1,http://fs.airlive.com/manual/AirLive_MD-720_Manual.pdf,http://fs.airlive.com/manual/AirLive_MD-720_Spec.pdf,http://www.airlivesecurity.com/product/MD-720,admin,airlive,No
Airlive,Dome,OD-2050HD,1920x1080,2,30FPS,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,image.jpg,mpeg4/media.amp,h264/media.amp,video.mjpg,fromserver.cgi[?<parameter>=<value>],http://fs.airlive.com/manual/AirLive_OD-2050HD_Manual.pdf,http://fs.airlive.com/manual/AirLive_OD-2050HD_SpecSheet.pdf,http://www.airlivesecurity.com/product/OD-2050HD,admin,airlive,No
Airlive,Dome,FE-200VD,1600x1200,2,15FPS,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,cgi-bin/admin/snapshot.cgi,None,Unknown,Unknown,cgi-bin/admin/audio?<parameter>=<value>,http://fs.airlive.com/manual/AirLive_FE-200VD_Manual.pdf,http://fs.airlive.com/manual/AirLive_FE-200VD_Spec_Sheet.pdf,http://www.airlivesecurity.com/product/FE-200VD,admin,airlive,No
Airlive,Dome,FE-200DM,1600x1200,2,15FPS,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,cgi-bin/admin/snapshot.cgi,None,Unknown,Unknown,cgi-bin/admin/audio?<parameter>=<value>,http://fs.airlive.com/manual/AirLive_FE-200DM_Manual_Web.pdf,http://fs.airlive.com/manual/AirLive_FE-200DM_SpecSheet.pdf,http://www.airlivesecurity.com/product/FE-200DM,admin,airlive,No
Airlive,Dome,OD-2060HD,1920x1080,2,30FPS,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,image.jpg,mpeg4/media.amp,h264/media.amp,video.mjpg,fromserver.cgi[?<parameter>=<value>],http://fs.airlive.com/manual/AirLive_OD-2060HD_Manual.pdf,http://fs.airlive.com/manual/AirLive_OD-2060HD_SpecSheet.pdf,http://www.airlivesecurity.com/product/OD-2060HD,admin,airlive,No
Airlive,Dome,DM-720,1280x800,1,30FPS,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,cgi-bin/jpg/image,video.pro1,video.pro1,Unknown,Unknown,http://fs.airlive.com/manual/AirLive_DM-720_Manual_web.pdf,http://fs.airlive.com/manual/AirLive_DM-720_SpecSheet.pdf,http://www.airlivesecurity.com/product/DM-720,admin,airlive,No
Airlive,Dome,POE-2600HD,1920x1080,2,30FPS,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,image.jpg,mpeg4/media.amp,h264/media.amp,video.mjpg,fromserver.cgi[?<parameter>=<value>],http://fs.airlive.com/manual/AirLive_PoE-2600HD.WN-2600HD_Manual.pdf,http://fs.airlive.com/manual/AirLive_PoE-2600HD_SpecSheet.pdf,http://www.airlivesecurity.com/product/POE-2600HD,admin,airlive,No
Airlive,Dome,WN-2600HD,1920x1080,2,30FPS,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,image.jpg,mpeg4/media.amp,h264/media.amp,video.mjpg,fromserver.cgi[?<parameter>=<value>],http://fs.airlive.com/manual/AirLive_PoE-2600HD.WN-2600HD_Manual.pdf,http://fs.airlive.com/manual/AirLive_WN-2600HD_SpecSheet.pdf,http://www.airlivesecurity.com/product/WN-2600HD,admin,airlive,No
Airlive,Dome,POE-260CAM,640x480,VGA,30FPS,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image,video.mp4,None,video.mjpg,Unknown,n/a,http://fs.airlive.com/manual/AirLive_POE-260CAM_SpecSheet.pdf,http://www.airlivesecurity.com/product/POE-260CAM,admin,airlive,No
Airlive,Dome,POE-250HD,1280x1024,1.3,15FPS,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,jpg/image.jpg,mpeg4/media.amp,h264/media.amp,mjpg/video.mjpg,audio/receive.cgi[?<parameter>=<value>],http://fs.airlive.com/manual/AirLive_POE-250HD_Manual.pdf,http://fs.airlive.com/manual/AirLive_POE-250HD_SpecSheet.pdf,http://www.airlivesecurity.com/product/POE-250HD,admin,airlive,No
Airlive,Dome,POE-200CAM v2,640x480,VGA,30FPS,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image,video.mp4,None,video.mjpg,Unknown,http://fs.airlive.com/manual/AirLive_POE-200CAMv2_Manual.pdf,http://fs.airlive.com/manual/AirLive_POE-200CAMv2_SpecSheet.pdf,http://www.airlivesecurity.com/product/POE-200CAMv2,admin,airlive,No
