Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,PSIA,Audio In,Audio Out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,AUDIO URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued
Arecont Vision,,Default,,,,,,,,,,,,,,,image,None,h264.sdp,mjpeg,Unknown,n/a,,,n/a,n/a,
Arecont Vision,Dome,D4F-AV1115v1-3312,1280x1024,1.3,42FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4F-AV1115v1-3312,n/a,n/a,No
Arecont Vision,Dome,D4S-AV1115v1-3312,1280x1024,1.3,42FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4S-AV1115v1-3312,n/a,n/a,No
Arecont Vision,Dome,D4SO-AV1115v1-3312,1280x1024,1.3,42FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4SO-AV1115v1-3312,n/a,n/a,No
Arecont Vision,Dome,D4F-AV2115v1-3312,1920x1080,2.07,32FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4F-AV2115v1-3312,n/a,n/a,No
Arecont Vision,Dome,D4S-AV2115v1-3312,1920x1080,2.07,32FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4S-AV2115v1-3312,n/a,n/a,No
Arecont Vision,Dome,D4SO-AV2115v1-3312,1280x1024,1.3,42FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4SO-AV2115v1-3312,n/a,n/a,No
Arecont Vision,Dome,D4F-AV3115v1-3312,2048x1536,3,21FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4F-AV3115v1-3312,n/a,n/a,No
Arecont Vision,Dome,D4S-AV3115v1-3312,2048x1536,3,21FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4S-AV3115v1-3312,n/a,n/a,No
Arecont Vision,Dome,D4SO-AV3115v1-3312,2048x1536,3,21FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4SO-AV3115v1-3312,n/a,n/a,No
Arecont Vision,Dome,D4F-AV5115v1-3312,2592x1944,5,14FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4F-AV5115v1-3312,n/a,n/a,No
Arecont Vision,Dome,D4S-AV5115v1-3312,2592x1944,5,14FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4S-AV5115v1-3312,n/a,n/a,No
Arecont Vision,Dome,D4SO-AV5115v1-3312,2592x1944,5,14FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4SO-AV5115v1-3312,n/a,n/a,No
Arecont Vision,Dome,D4F-AV1115-3312,1280x1024,1.3,42FPS,No,No,Yes,No,No,No,Yes,No,No,Yes,No,image,None,h264.sdp,mjpeg,Unknown,n/a,,http://www.arecontvision.com/product/D4+Series/D4F-AV1115-3312,n/a,n/a,Yes
