Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio In,Audio out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued
D-Link,,Default,,,,,,,,,,,,,,image/jpeg.cgi,live.sdp,live.sdp,video/mjpg.cgi,,,,,,
D-Link,Box,DCS-1000,640 x 480,,3FPS,No,No,No,No,No,No,No,No,No,No,image.jpg,None,None,video.cgi,http://www.dlink.com/-/media/Business_Products/DCS/DCS%201000/manual/dcs-1000_manual_en_uk.pdf,http://www.dlink.com/-/media/Business_Products/DCS/DCS%201000/Datasheet/DCS_1000_datasheet_en_UK.pdf,http://www.dlink.com/rs/sr/support/product/dcs-1000-internet-securty-camera,n/a,n/a,Yes
D-Link,Box,DCS-1000W,640 x 480,,3FPS,No,No,No,No,Yes,No,No,No,No,No,image.jpg,None,None,video.cgi,None,http://www.dlink.com/-/media/Business_Products/DCS/DCS%201000W/Datasheet/DCS-1000W-datasheet_en_uk.pdf,http://www.dlink.com/rs/sr/support/product/dcs-1000w,n/a,n/a,Yes
D-Link,Box,DCS-1130,640 x 480,VGA,30FPS,No,No,No,No,Yes,No,Yes,No,No,Yes,image/jpeg.cgi,None,None,video/mjpg.cgi,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%201130/Manual/DCS_1130_Manual_v_1_00_EN_UK.pdf,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%201130/Datasheet/DCS_1130_Datasheet_EN_UK.pdf,http://www.dlink.com/rs/sr/support/product/dcs-1130-wireless-n-network-camera,admin,<blank>,Yes
D-Link,Box,DCS-2000,640 x 480,,30FPS,No,No,No,No,No,No,Yes,No,No,No,cgi-bin/video.jpg,None,None,video/mjpg.cgi,None,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%202100plus/Datasheets/DCS_2000_plus_Datasheet_EN_UK.pdf,http://www.dlink.com/rs/sr/support/product/dcs-2000-internet-camera-with-audio-monitoring,n/a,n/a,Yes
D-Link,Box,DCS-2100+,640 x 480,,30FPS,No,No,No,No,Yes,No,Yes,No,No,No,cgi-bin/video.jpg,None,None,video/mjpg.cgi,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%202100plus/Manual/dcs_2100_man_v200_EN_UK.pdf,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%202100plus/Datasheets/DCS_2000_plus_Datasheet_EN_UK.pdf,http://www.dlink.com/rs/sr/support/product/dcs-2100plus-enhanced-2-4ghz-802-11b-wireless-internet-camera,n/a,n/a,Yes
D-Link,Box,DCS-2100G,640 x 480,,10FPS,No,No,No,No,Yes,No,Yes,No,No,Yes,cgi-bin/video.jpg,None,None,None,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%202100G/Manual/DCS_2100_G_Manual_EN_UK.pdf,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%202100G/Datasheet/DCS_2100_G_Datasheet_EN_UK.pdf,http://www.dlink.com/rs/sr/support/product/dcs-2100g-wireless-g-internet-camera,admin,<blank>,Yes
D-Link,Other,DCS-2120,640 x 480,,30FPS,No,No,No,No,Yes,No,Yes,Yes,No,Yes,cgi-bin/video.jpg,None,None,None,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%202120/Manual/DCS_2120_Manual_v_2_00_EN_UK.pdf,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%202120/Datasheet/DCS_2120_Datasheet_EN_UK.pdf,http://www.dlink.com/rs/sr/support/product/dcs-2120-wireless-internet-camera-with-3g-mobile-video-support,admin,<blank>,Yes
D-Link,Other,DCS-2121,640 x 480,VGA,30FPS,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,image/jpeg.cgi,play.sdp,None,video/mjpg.cgi,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%202121/User%20Manuals/DCS_2121_Manual_v_110_EN_UK.pdf,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%202121/Datasheets/DCS_2121_Datasheet_EN_UK.pdf,http://www.dlink.com/rs/sr/support/product/dcs-2121-megapixel-wireless-internet-camera,admin,<blank>,Yes
D-Link,Other,DCS-2130,1280 x 800,1,30FPS,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,image/jpeg.cgi,live.sdp,live.sdp,video/mjpg.cgi,http://www.dlink.com/-/media/Business_Products/DCS/DCS%202130/Manual/DCS_2130_A1_Manual_v100_EN_UK.pdf,http://www.dlink.com/-/media/Business_Products/DCS/DCS%202130/Datasheet/DCS_2130_Datasheet_EN_UK.pdf,http://www.dlink.com/rs/sr/support/product/dcs-2130-hd-wireless-camera,admin,<blank>,Yes
