Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio IN,Audio OUT,PoE,Upnp,JPEG URL,H264 URL,MJPEG URL,AUDIO URL,Default user,Default password,Discontinued,Manufacturer
Box,Fosbaby,1280X720,1,30,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Box,FI9826P,1280x960,1.3,30,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Box,FI9826W,1280x960,1.3,30,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Box,FI9831W,1280x960,1.3,30,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Box,FI9821P,1280X720,1,30,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Box,FI9821W,1280X720,1,30,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Box,FI9818W,1280X720,1,30,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Box,FI9803P,1280X720,1.3,30,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Bullet,FI9805W,1280X960,1.3,30,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Bullet,FI9805E,1280X960,1.3,30,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Bullet,FI9804W,1280X720,1,30,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Box,FI8910W,640X480,VGA,15,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,snapshot.cgi,None,videostream.cgi,Unknown,admin,<blank>,No,Foscam
Box,FI8910E,640X480,VGA,15,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,snapshot.cgi,None,videostream.cgi,Unknown,admin,<blank>,No,Foscam
