Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio In,Audio out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued
Grandstream,Bullet,GXV3672_HD,1280x720,1.2,30FPS,No,Yes,No,No,No,Yes,No,No,Yes,No,snapshot/view[CHANNEL].jpg,,ipcam_h264.sdp,goform/stream?cmd=get&channel=[CHANNEL],http://www.grandstream.com/products/surveillance/gxv3672hd/documents/gxv3672hd_fhd_usermanual_english.pdf,http://www.grandstream.com/products/surveillance/gxv3672hd/marketing/gxv3672hd_fhd_brochure_english.pdf,http://www.grandstream.com/index.php/products/ip-video-surveillance/gxv3672,admin,admin,No
Grandstream,Bullet,GXV3672_FHD,1920x1080,3.1,30FPS,No,Yes,No,No,No,Yes,No,No,Yes,No,snapshot/view[CHANNEL].jpg,,ipcam_h264.sdp,goform/stream?cmd=get&channel=[CHANNEL],http://www.grandstream.com/products/surveillance/gxv3672hd/documents/gxv3672hd_fhd_usermanual_english.pdf,http://www.grandstream.com/products/surveillance/gxv3672hd/marketing/gxv3672hd_fhd_brochure_english.pdf,http://www.grandstream.com/index.php/products/ip-video-surveillance/gxv3672,admin,admin,No
Grandstream,Bullet,GXV3672_HD_36,1280x960,1.2,25FPS,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,snapshot/view[CHANNEL].jpg,,ipcam_h264.sdp,goform/stream?cmd=get&channel=[CHANNEL],http://www.grandstream.com/products/surveillance/gxv3672hd/documents/gxv3672hd_fhd_usermanual_english.pdf,http://www.grandstream.com/products/surveillance/gxv3672hd/marketing/gxv3672hd_fhd_brochure_english.pdf,http://www.grandstream.com/index.php/products/ip-video-surveillance/gxv3672,admin,admin,No
Grandstream,Bullet,GXV3672_FHD_36,2048x1536,3.1,15FPS,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,snapshot/view[CHANNEL].jpg,,ipcam_h264.sdp,goform/stream?cmd=get&channel=[CHANNEL],http://www.grandstream.com/products/surveillance/gxv3672hd/documents/gxv3672hd_fhd_usermanual_english.pdf,http://www.grandstream.com/products/surveillance/gxv3672hd/marketing/gxv3672hd_fhd_brochure_english.pdf,http://www.grandstream.com/index.php/products/ip-video-surveillance/gxv3672,admin,admin,No
Grandstream,Box,GXV3674_HD_VF,1280x960,1.2,25FPS,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,snapshot/view[CHANNEL].jpg,,ipcam_h264.sdp,goform/stream?cmd=get&channel=[CHANNEL],http://www.grandstream.com/products/surveillance/gxv3674/documents/gxv3674_usermanual_english.pdf,http://www.grandstream.com/products/surveillance/gxv3674/marketing/gxv_3674_hd_datasheet.pdf,http://www.grandstream.com/index.php/products/ip-video-surveillance/gxv3674,admin,admin,No
Grandstream,Box,GXV3674_FHD_VF,2048x1536,3.1,15FPS,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,snapshot/view[CHANNEL].jpg,,ipcam_h264.sdp,goform/stream?cmd=get&channel=[CHANNEL],http://www.grandstream.com/products/surveillance/gxv3674/documents/gxv3674_usermanual_english.pdf,http://www.grandstream.com/products/surveillance/gxv3674/marketing/gxv_3674_hd_datasheet.pdf,http://www.grandstream.com/index.php/products/ip-video-surveillance/gxv3674,admin,admin,No
Grandstream,Dome,GXV3610_HD,1280x960,1.2,25FPS,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,snapshot/view[CHANNEL].jpg,,ipcam_h264.sdp,goform/stream?cmd=get&channel=[CHANNEL],http://www.grandstream.com/products/surveillance/gxv3610/documents/gxv3610hd_fhd_usermanual_english.pdf,http://www.grandstream.com/products/surveillance/gxv3610/marketing/gxv3610_brochure_english.pdf,http://www.grandstream.com/index.php/products/ip-video-surveillance/gxv3610,admin,admin,No
Grandstream,Dome,GXV3610_FHD,2048x1536,3.1,15FPS,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,snapshot/view[CHANNEL].jpg,,ipcam_h264.sdp,goform/stream?cmd=get&channel=[CHANNEL],http://www.grandstream.com/products/surveillance/gxv3610/documents/gxv3610hd_fhd_usermanual_english.pdf,http://www.grandstream.com/products/surveillance/gxv3610/marketing/gxv3610_brochure_english.pdf,http://www.grandstream.com/index.php/products/ip-video-surveillance/gxv3610,admin,admin,No
Grandstream,Box,GXV3651_FHD,2592x1944,5,15FPS @ 2048x1536,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,snapshot/view[CHANNEL].jpg,,ipcam_h264.sdp,goform/stream?cmd=get&channel=[CHANNEL],http://www.grandstream.com/products/surveillance/gxv3651/documents/gxv3651_fhd_usermanual.pdf,http://www.grandstream.com/products/surveillance/gxv3651/marketing/gxv3651_fhd_brochure.pdf,http://www.grandstream.com/index.php/products/ip-video-surveillance/gxv3651,admin,admin,No
Grandstream,Dome,GXV3662_HD,1280x960,1.2,30FPS,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,snapshot/view[CHANNEL].jpg,,ipcam_h264.sdp,goform/stream?cmd=get&channel=[CHANNEL],http://www.grandstream.com/products/surveillance/gxv3662/documents/gxv3662_usermanual_english.pdf,http://www.grandstream.com/products/surveillance/gxv3662/marketing/gxv3662_brochure_english.pdf,http://www.grandstream.com/index.php/products/ip-video-surveillance/gxv3662,admin,admin,No
