Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,PSIA,Audio In,Audio Out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,AUDIO URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued,Additional Information
Lumenera,,Default,,,,,,,,,,,,,,,cgi-bin/nph-image.jpg,Unknown,,cgi-bin/nph-video,Unknown,,,,<blank>,<blank>,,
Lumenera,Box,Le045,720x480,D1,30FPS,No,No,No,No,No,No,No,Yes,Yes,Yes,No,cgi-bin/nph-image.jpg,Unknown,h264,cgi-bin/nph-video,Unknown,http://www.lumenera.com/support/pdf/NetworkCameraUsersManual1.8.1_screen.pdf,http://www.lumenera.com/resources/documents/datasheets/security/Le045-datasheet.pdf,http://www.lumenera.com/products/surveillance-cameras/le045.php,<blank>,<blank>,No,
Lumenera,Box,Le075,640x460,VGA,70FPS,No,No,No,No,No,No,No,No,No,Yes,No,cgi-bin/nph-image.jpg,Unknown,,cgi-bin/nph-video,Unknown,http://www.lumenera.com/support/pdf/NetworkCameraUsersManual1.8.1_screen.pdf,http://www.lumenera.com/resources/documents/datasheets/security/Le075-datasheet.pdf,http://www.lumenera.com/products/surveillance-cameras/le075.php,<blank>,<blank>,No,rtsp://camera/
Lumenera,Box,Le165,1376x1032,1.4,15FPS,No,No,No,No,No,No,No,No,No,Yes,No,cgi-bin/nph-image.jpg,Unknown,,cgi-bin/nph-video,Unknown,http://www.lumenera.com/support/pdf/NetworkCameraUsersManual1.8.1_screen.pdf,http://www.lumenera.com/resources/documents/datasheets/security/Le165-datasheet.pdf,http://www.lumenera.com/products/surveillance-cameras/le165.php,<blank>,<blank>,No,rtsp://camera/
Lumenera,Box,Le175CA,1280x1024,1.3,27FPS,No,No,No,No,No,No,No,No,No,Yes,No,cgi-bin/nph-image.jpg,Unknown,,cgi-bin/nph-video,Unknown,http://www.lumenera.com/support/pdf/NetworkCameraUsersManual1.8.1_screen.pdf,http://www.lumenera.com/resources/documents/datasheets/security/Le175CA-datasheet.pdf,http://www.lumenera.com/products/surveillance-cameras/le175ca.php,<blank>,<blank>,No,rtsp://camera/
Lumenera,Box,Le175M,1280x1024,1.3,30FPS,No,No,No,No,No,No,No,No,No,Yes,No,cgi-bin/nph-image.jpg,Unknown,,cgi-bin/nph-video,Unknown,http://www.lumenera.com/support/pdf/NetworkCameraUsersManual1.8.1_screen.pdf,http://www.lumenera.com/resources/documents/datasheets/security/Le175M-datasheet.pdf,http://www.lumenera.com/products/surveillance-cameras/le175m.php,<blank>,<blank>,No,rtsp://camera/
Lumenera,Box,Le375,2048x1536,3,10FPS,No,No,No,No,No,No,No,No,No,Yes,No,cgi-bin/nph-image.jpg,Unknown,,cgi-bin/nph-video,Unknown,http://www.lumenera.com/support/pdf/NetworkCameraUsersManual1.8.1_screen.pdf,http://www.lumenera.com/resources/documents/datasheets/security/Le375-datasheet.pdf,http://www.lumenera.com/products/surveillance-cameras/le375.php,<blank>,<blank>,No,rtsp://camera/
Lumenera,Box,Le575,2560x1920,5,6FPS,No,No,No,No,No,No,No,No,No,Yes,No,cgi-bin/nph-image.jpg,Unknown,,cgi-bin/nph-video,Unknown,http://www.lumenera.com/support/pdf/NetworkCameraUsersManual1.8.1_screen.pdf,http://www.lumenera.com/resources/documents/datasheets/security/Le575-datasheet.pdf,http://www.lumenera.com/products/surveillance-cameras/le575.php,<blank>,<blank>,No,rtsp://camera/
Lumenera,Box,Li045,720x480,D1,30FPS,No,No,No,No,No,No,No,Yes,Yes,Yes,No,cgi-bin/nph-image.jpg,Unknown,h264,cgi-bin/nph-video,Unknown,http://www.lumenera.com/support/pdf/NetworkCameraUsersManual1.8.1_screen.pdf,http://www.lumenera.com/resources/documents/datasheets/security/Li045-datasheet.pdf,http://www.lumenera.com/products/surveillance-cameras/li045.php,<blank>,<blank>,No,
Lumenera,Box,Li165,1376x1032,1.4,15FPS,No,No,No,No,No,No,No,Yes,Yes,Yes,No,cgi-bin/nph-image.jpg,Unknown,h264,cgi-bin/nph-video,Unknown,http://www.lumenera.com/support/pdf/NetworkCameraUsersManual1.8.1_screen.pdf,http://www.lumenera.com/resources/documents/datasheets/security/Li165-datasheet.pdf,http://www.lumenera.com/products/surveillance-cameras/li165.php,<blank>,<blank>,No,
Lumenera,Box,Li175CB,1280x1024,1.3,21FPS,No,No,No,No,No,No,No,Yes,Yes,Yes,No,cgi-bin/nph-image.jpg,Unknown,h264,cgi-bin/nph-video,Unknown,http://www.lumenera.com/support/pdf/NetworkCameraUsersManual1.8.1_screen.pdf,http://www.lumenera.com/resources/documents/datasheets/security/Li175CB-datasheet.pdf,http://www.lumenera.com/products/surveillance-cameras/li175ca.php,<blank>,<blank>,No,
Lumenera,Box,Li175MB,1280x1024,1.3,21FPS,No,No,No,No,No,No,No,Yes,Yes,Yes,No,cgi-bin/nph-image.jpg,Unknown,h264,cgi-bin/nph-video,Unknown,http://www.lumenera.com/support/pdf/NetworkCameraUsersManual1.8.1_screen.pdf,http://www.lumenera.com/resources/documents/datasheets/security/Li175MB-datasheet.pdf,http://www.lumenera.com/products/surveillance-cameras/li175m.php,<blank>,<blank>,No,
