Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio IN,Audio OUT,PoE,Upnp,JPEG URL,H264 URL,MJPEG URL,Default username,Default password,Detailed Shape / Type as in vendor catalog,Manufacturer
Box,WV-SP102,640X480,1.3,30,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SP105,1280x960,1.3,30,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SP305,1280 x 960,1.3,30,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SP306,1280 x 960,1.3,30,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SW172,800 x 600,1.3,30,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-ST162,800 x 600,1.3,30,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SW175,1280 x 960,1.3,30,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-ST165,1280 x 960,1.3,30,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SW314,1280 x 960,1.3,30,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SW316,1280 x 960,1.3,30,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SP508,1920 x 1080,3,30,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SP509,1920 x 1080,3,30,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SW316L,1280 x 960,1.3,30,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Box,WV-SW174W,1280 x 960,1.3,30,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Dome,WV-SFN611L,1280 x 960,1.3,30,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Dome,WV-SFN631L,2048x1536,3,30,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Color Cameras,Panasonic
Dome,WV-SF332,800 x 600,1.3,30,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,SnapshotJPEG,?,nphMotionJpeg,admin,12345,Fixed Network Dome Cameras,Panasonic
