Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,PSIA,Audio In,Audio Out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,AUDIO URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued
Planet,,Default,,,,,,,,,,,,,,,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,,,,admin,admin,
Planet,Box,ICA-3110,1280x800,1,30FPS,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/48532/EM-ICA-3110_v1.0.pdf,http://www.planet.com.tw/en/product/images/48532/C-ICA-3110_s.pdf,http://www.planet.com.tw/en/product/product.php?id=48532,admin,admin,No
Planet,Box,ICA-4130S,1280x960,1.2,30FPS,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/48539/EM-ICA-4130S_4230S_v1.0.pdf,http://www.planet.com.tw/en/product/images/48539/C-ICA-4130S_s.pdf,http://www.planet.com.tw/en/product/product.php?id=48539,admin,admin,No
Planet,Box,ICA-5150,1280x1024,1.3,30FPS,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,n/a,n/a,http://www.planet.com.tw/en/product/product.php?id=48533,admin,admin,No
Planet,Box,ICA-3200,1920x1080,2,25FPS,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/48438/EM-ICA-3200_v1.0.pdf,http://www.planet.com.tw/en/product/images/48438/C-ICA-3200_s.pdf,http://www.planet.com.tw/en/product/product.php?id=48438,admin,admin,No
Planet,Box,ICA-4230S,1920x1080,2,30FPS,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/48540/EM-ICA-4130S_4230S_v1.0.pdf,http://www.planet.com.tw/en/product/images/48540/C-ICA-4230S_s.pdf,http://www.planet.com.tw/en/product/product.php?id=48540,admin,admin,No
Planet,Box,ICA-5250,1920x1080,2,25FPS,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/48399/EM-ICA-5250_v1.0.pdf,http://www.planet.com.tw/en/product/images/48399/C-ICA-5250_s.pdf,http://www.planet.com.tw/en/product/product.php?id=48399,admin,admin,No
Planet,Box,ICA-HM131,1920x1080,2,15FPS,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/42712/EM-ICAHM131-131R(V2)_v2.0.pdf,http://www.planet.com.tw/en/product/images/42712/C-ICA-HM131v2_s.pdf,http://www.planet.com.tw/en/product/product.php?id=42712,admin,admin,No
Planet,Box,ICA-1200,1920x1080,2,30FPS,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/47777/EM-ICA1200_Series_v1.pdf,http://www.planet.com.tw/en/product/images/47777/C-ICA-1200_s.pdf,http://www.planet.com.tw/en/product/product.php?id=47777,admin,admin,No
Planet,Box,ICA-HM101,1600x1200,2,15FPS,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,n/a,n/a,http://www.planet.com.tw/en/product/product.php?id=48535,admin,admin,No
Planet,Box,ICA-HM101W,1600x1200,2,15FPS,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,n/a,n/a,http://www.planet.com.tw/en/product/product.php?id=48536,admin,admin,No
Planet,Box,ICA-W1200,1920x1080,2,30FPS,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/48260/EM-ICA1200_Series_v1.pdf,http://www.planet.com.tw/en/product/images/48260/C-ICA-W1200_s.pdf,http://www.planet.com.tw/en/product/product.php?id=48260,admin,admin,No
Planet,Box,ICA-W8100,1280x720,1,30FPS,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/48362/EM-ICAW8100-W8100CLD_v1.0.pdf,http://www.planet.com.tw/en/product/images/48362/C-ICA-W8100_s.pdf,http://www.planet.com.tw/en/product/product.php?id=48447,admin,admin,No
Planet,Box,ICA-2200,1920x1080,2,30FPS,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/42576/EM-ICA-2200_v1.0.pdf,http://www.planet.com.tw/en/product/images/42576/C-ICA-2200_s.pdf,http://www.planet.com.tw/en/product/product.php?id=42576,admin,admin,No
Planet,Box,ICA-2500,2592x1944,5,15FPS,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/44281/EM-ICA-2500_v1.0.pdf,http://www.planet.com.tw/en/product/images/44281/C-ICA-2500_s.pdf,http://www.planet.com.tw/en/product/product.php?id=44281,admin,admin,No
Planet,Box,ICA-HM127,2048x1536,3,20FPS,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/39230/EM-ICAHM127_v1.0.pdf,http://www.planet.com.tw/en/product/images/39230/C-ICA-HM127_s.pdf,http://www.planet.com.tw/en/product/product.php?id=39230,admin,admin,No
Planet,Box,ICA-2250VT,1920x1080,2,30FPS,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/48514/EM-ICA-2250VT_v1.0.pdf,http://www.planet.com.tw/en/product/images/48514/C-ICA-2250VT_s.pdf,http://www.planet.com.tw/en/product/product.php?id=48514,admin,admin,No
Planet,Box,ICA-HM351,1920x1080,2,30FPS,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/37829/EM-ICAHM351_v1.0.pdf,http://www.planet.com.tw/en/product/images/37829/C-ICA-HM351_s.pdf,http://www.planet.com.tw/en/product/product.php?id=37829,admin,admin,No
Planet,Bullet,ICA-3250V,1920x1080,2,30FPS,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/45906/EM-ICA-3250V_v1.pdf,http://www.planet.com.tw/en/product/images/45906/C-ICA-3250V_L.pdf,http://www.planet.com.tw/en/product/product.php?id=45906,admin,admin,No
Planet,Bullet,ICA-3260,1920x1080,2,60FPS,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,n/a,n/a,http://www.planet.com.tw/en/product/product.php?id=48549,admin,admin,No
Planet,Bullet,ICA-3350V,2048x1536,3,30FPS,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/jpg/image.cgi,mpeg4,h264,:8080,Unknown,http://www.planet.com.tw/en/product/images/42951/EM-ICA3350V_v1.pdf,http://www.planet.com.tw/en/product/images/42951/C-ICA-3350V_s.pdf,http://www.planet.com.tw/en/product/product.php?id=42951,admin,admin,No
