Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio In,Audio out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued
Vivotek,,Default,,,,,,,,,,,,,,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,,,,,,
Vivotek,Bullet,AB5353H,1280 x 800,1,30FPS,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,n/a,http://download.vivotek.com/downloadfile/downloads/datasheets/ab5353hdatasheet_en.pdf,http://www.vivotek.com/ab5353h/,n/a,n/a,No
Vivotek,Dome,AF5127,1920 x 1920,5,15FPS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,n/a,http://download.vivotek.com/downloadfile/downloads/datasheets/af5127datasheet_en.pdf,http://www.vivotek.com/af5127/,n/a,n/a,Yes
Vivotek,Dome,AF5127V,1920 x 1920,5,15FPS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,n/a,http://download.vivotek.com/downloadfile/downloads/datasheets/af5127vdatasheet_en.pdf,http://www.vivotek.com/af5127v/,n/a,n/a,No
Vivotek,Box,BB5116,1600 x 1200,2,15FPS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,n/a,http://download.vivotek.com/downloadfile/downloads/datasheets/bb5116datasheet_en.pdf,http://www.vivotek.com/bb5116/,n/a,n/a,No
Vivotek,Bullet,BB5315,1280 x 800,1,30FPS,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,n/a,http://download.vivotek.com/downloadfile/downloads/datasheets/bb5315datasheet_en.pdf,http://www.vivotek.com/bb5315/,n/a,n/a,No
Vivotek,Dome,BD5115,1280 x 800,1,30FPS,No,Yes,No,No,No,Yes,No,No,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,n/a,http://download.vivotek.com/downloadfile/downloads/datasheets/bd5115datasheet_en.pdf,http://www.vivotek.com/bd5115/,n/a,n/a,No
Vivotek,Dome,BD5336,1920 x 1080,2,30FPS,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,n/a,http://download.vivotek.com/downloadfile/downloads/datasheets/bd5336datasheet_en.pdf,http://www.vivotek.com/bd5336/,n/a,n/a,No
Vivotek,Dome,BS5332E,PAL 720 x 576,D1,50FPS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,n/a,http://download.vivotek.com/downloadfile/downloads/datasheets/bs5332edatasheet_en.pdf,http://www.vivotek.com/bs5332e/,n/a,n/a,No
Vivotek,Box,CC8130,1280 x 800,1,30FPS,No,No,No,No,No,Yes,Yes,No,Yes,Yes,cgi-bin/viewer/video.jpg,n/a,live.sdp,video.mjpg,http://download.vivotek.com/downloadfile/downloads/usersmanuals/cc8130manual_en.pdf,http://download.vivotek.com/downloadfile/downloads/datasheets/cc8130datasheet_en.pdf,http://www.vivotek.com/cc8130/,Root,<blank>,No
Vivotek,Dome,FD8131,1280 x 800,1,30FPS,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,http://download.vivotek.com/downloadfile/downloads/usersmanuals/fd8131manual_en.pdf,http://download.vivotek.com/downloadfile/downloads/datasheets/fd8131datasheet_en.pdf,http://www.vivotek.com/fd8131/,Root,<blank>,No
Vivotek,Dome,FD8131V,1280 x 800,1,30FPS,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,http://download.vivotek.com/downloadfile/downloads/usersmanuals/fd8131vmanual_en.pdf,http://download.vivotek.com/downloadfile/downloads/datasheets/fd8131vdatasheet_en.pdf,http://www.vivotek.com/fd8131v/,Root,<blank>,No
Vivotek,Dome,FD8133,1280 x 800,1,30FPS,No,Yes,No,Yes,No,Yes,No,No,No,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,http://download.vivotek.com/downloadfile/downloads/usersmanuals/fd8133manual_en.pdf,http://download.vivotek.com/downloadfile/downloads/datasheets/fd8133datasheet_en.pdf,http://www.vivotek.com/fd8133/,Root,<blank>,No
Vivotek,Dome,FD8133V,1280 x 800,1,30FPS,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,http://download.vivotek.com/downloadfile/downloads/usersmanuals/fd8133vmanual_en.pdf,http://download.vivotek.com/downloadfile/downloads/datasheets/fd8133vdatasheet_en.pdf,http://www.vivotek.com/fd8133v/,Root,<blank>,No
Vivotek,Dome,FD8134,1280 x 800,1,30FPS,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,http://download.vivotek.com/downloadfile/downloads/usersmanuals/fd8134manual_en.pdf,http://download.vivotek.com/downloadfile/downloads/datasheets/fd8134datasheet_en.pdf,http://www.vivotek.com/fd8134/,Root,<blank>,No
Vivotek,Dome,FD8134V,1280 x 800,1,30FPS,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,http://download.vivotek.com/downloadfile/downloads/usersmanuals/fd8134vmanual_en.pdf,http://download.vivotek.com/downloadfile/downloads/datasheets/fd8134vdatasheet_en.pdf,http://www.vivotek.com/fd8134v/,Root,<blank>,No
Vivotek,Dome,FD8135H,1280 x 800,1,30FPS,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,cgi-bin/viewer/video.jpg,live.sdp,live.sdp,video.mjpg,http://download.vivotek.com/downloadfile/downloads/usersmanuals/fd8135hmanual_en.pdf,http://download.vivotek.com/downloadfile/downloads/datasheets/fd8135hdatasheet_en.pdf,http://www.vivotek.com/fd8135h/,Root,<blank>,No
