Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio In,Audio Out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued
Zavio,,Default,,,,,,,,,,,,,,jpg/image.jpg,video.mp4,video.pro[profile_number],video.mjpg,,,,,,
Zavio,Bullet,B5010,640 x 480,VGA,30FPS,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/78/B5010%20User%20Manual_140417.pdf,http://www.zavio.com/downloads/product/78/datasheet_B5010.pdf,http://www.zavio.com/product.php?id=78,admin,admin,No
Zavio,Bullet,B5111,1280 x 800,1,30FPS,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/71/B5111%20User%20Manual_140417.pdf,http://www.zavio.com/downloads/product/71/datasheet_B5111.pdf,http://www.zavio.com/product.php?id=71,admin,admin,No
Zavio,Bullet,B5210,1920 x 1080,2,30FPS,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/79/B5210%20User%20Manual_140417.pdf,http://www.zavio.com/downloads/product/79/datasheet_B5210.pdf,http://www.zavio.com/product.php?id=79,admin,admin,No
Zavio,Bullet,B7210,1920 x 1080,2,30FPS,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/45/B7210_Manual_140417.pdf,http://www.zavio.com/downloads/product/45/datasheet_B7210.pdf,http://www.zavio.com/product.php?id=45,admin,admin,No
Zavio,Bullet,B7320,2048 x 1536,3,20FPS,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/86/ZavioUserManual_B7320_B7510_20140415.pdf,http://www.zavio.com/downloads/product/86/datasheet_B7320.pdf,http://www.zavio.com/product.php?id=86,n/a,n/a,No
Zavio,Bullet,B7510,2560 x 1920,5,15FPS,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/88/ZavioUserManual_B7320_B7510_20140415.pdf,http://www.zavio.com/downloads/product/88/datasheet_B7510.pdf,http://www.zavio.com/product.php?id=88,n/a,n/a,No
Zavio,Dome,D3100,1280 x 800,1,30FPS,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/76/D3100_D3200%20User%20Manual_140417.pdf,http://www.zavio.com/downloads/product/76/datasheet_D3100.pdf,http://www.zavio.com/product.php?id=76,admin,admin,No
Zavio,Dome,D3200,1920 x 1080,2,30FPS,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/75/D3100_D3200%20User%20Manual_140417.pdf,http://www.zavio.com/downloads/product/75/datasheet_D3200.pdf,http://www.zavio.com/product.php?id=75,admin,admin,No
Zavio,Dome,D4210,1920 x 1080,2,30FPS,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/83/ZavioUserManual_D4210_20140417.pdf,http://www.zavio.com/downloads/product/83/datasheet_D4210.pdf,http://www.zavio.com/product.php?id=83,n/a,n/a,No
