Manufacturer,Shape,Model,Resolution,PTZ,Infrared,Varifocal,SD Card Storage,Onvif,PSIA,Audio In,Audio out,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,Page Reference,Default User,Default Password,Discontinued
Hikvision,box,DS-2CD4012F-(A)(P)(W),1280x1024,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9501,admin,12345,No
Hikvision,box,DS-2CD4012FWD-(A)(P)(W),1280x960,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9505,admin,12345,No
Hikvision,box,DS-2CD4024F-(A)(P)(W),1920x1080,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9506,admin,12345,No
Hikvision,box,DS-2CD4032FWD-(A)(P)(W),2048x1536,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9507,admin,12345,No
Hikvision,dome,DS-2CD4112F-I(Z),1280x1024,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9508,admin,12345,No
Hikvision,dome,DS-2CD4124F-I(Z),1920x1080,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9510,admin,12345,No
Hikvision,box,DS-2CD6026FHWD-(A),1920x1080,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9624,admin,12345,No
Hikvision,dome,DS-2CD4132FWD-I(Z),1280x960,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9511,admin,12345,No
Hikvision,dome,DS-2CD4332FWD-I(Z)(H)(S),1280x960,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/products_show.asp?id=9519,admin,12345,No
Hikvision,bullet,DS-2CD4212F-I(Z)(H)(S),1280x1024,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9512,admin,12345,No
Hikvision,bullet,DS-2CD4212FWD-I(Z)(H)(S),1280x960,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9513,admin,12345,No
Hikvision,bullet,DS-2CD4224F-I(Z)(H)(S),1920x1080,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9514,admin,12345,No
Hikvision,bullet,DS-2CD4232FWD-I(Z)(H)(S),2048x1536,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9515,admin,12345,No
Hikvision,dome,DS-2CD4312F-I(Z)(H)(S),1280x1024,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9516,admin,12345,No
